node;degree;closnesscentrality;betweenesscentrality;clustering;modularity_class
Aemon;5;0.389706;25.724258;0.7;1
Grenn;4;0.330218;0.333333;0.833333;1
Samwell;15;0.384058;179.597178;0.238095;1
Aerys;4;0.392593;0;1;0
Jaime;24;0.479638;556.185252;0.278986;0
Robert;18;0.5;1165.602517;0.287582;2
Tyrion;36;0.512077;1101.384972;0.180952;0
Tywin;22;0.469027;364.72122;0.229437;0
Alliser;3;0.343042;0;1;1
Mance;12;0.358108;40.490725;0.318182;1
Amory;1;0.261728;0;0;0
Oberyn;7;0.353333;108.963492;0.428571;0
Arya;19;0.486239;443.013584;0.333333;2
Anguy;2;0.329193;0;1;2
Beric;6;0.338658;3.389761;0.6;2
Bran;14;0.420635;350.687376;0.318681;3
Brynden;8;0.375887;26.306504;0.464286;4
Cersei;20;0.443515;148.843899;0.357895;0
Gendry;4;0.333333;0;1;2
Gregor;12;0.403042;32.721729;0.545455;0
Joffrey;18;0.439834;141.540763;0.392157;0
Jon;26;0.479638;1279.753353;0.156923;1
Rickon;6;0.378571;4.244048;0.8;3
Roose;4;0.358108;1.463372;0.666667;4
Sandor;13;0.417323;78.813083;0.5;2
Thoros;5;0.361775;10.719205;0.8;2
Balon;6;0.40613;3.495468;0.8;0
Loras;9;0.389706;21.039887;0.5;0
Belwas;4;0.285714;105;0.5;5
Barristan;6;0.379928;223.234827;0.533333;5
Illyrio;1;0.222689;0;0;5
Hodor;4;0.338658;12.208093;0.666667;3
Jojen;4;0.313609;2.261905;0.833333;3
Luwin;2;0.297753;0;1;3
Meera;5;0.338658;11.08691;0.7;3
Nan;2;0.297753;0;1;3
Theon;4;0.373239;2.625433;0.833333;3
Brienne;7;0.388278;8.556745;0.619048;0
Bronn;4;0.345277;0.583333;0.666667;0
Podrick;5;0.377224;4.651775;0.5;0
Lothar;5;0.335443;3.673193;0.8;4
Walder;8;0.369338;18.215254;0.607143;4
Catelyn;18;0.441667;272.161237;0.294118;4
Edmure;8;0.370629;35.155403;0.535714;4
Hoster;3;0.31454;1.350256;0.666667;4
Jeyne;2;0.335443;0;1;4
Lysa;10;0.392593;84.672345;0.355556;0
Petyr;7;0.395522;6.400941;0.714286;0
Robb;25;0.488479;706.557283;0.24;4
Roslin;4;0.312684;0.375747;0.833333;4
Sansa;26;0.509615;705.198562;0.252308;0
Stannis;14;0.479638;571.524731;0.351648;6
Elia;5;0.369338;16.677489;0.6;0
Ilyn;6;0.352159;0;1;0
Meryn;7;0.361775;1.441374;0.904762;0
Pycelle;4;0.350993;0;1;0
Shae;5;0.37193;6.969578;0.6;0
Varys;7;0.355705;5.060888;0.52381;0
Craster;5;0.332288;105;0.6;1
Karl;1;0.25;0;0;1
Daario;4;0.270408;0.333333;0.833333;5
Drogo;4;0.270408;0.333333;0.833333;5
Irri;4;0.270408;1;0.666667;5
Daenerys;14;0.365517;874.837211;0.153846;5
Aegon;1;0.268354;0;0;5
Jorah;6;0.288043;12.965844;0.533333;5
Kraznys;1;0.268354;0;0;5
Missandei;2;0.269036;0;1;5
Rakharo;1;0.268354;0;0;5
Rhaegar;6;0.355705;40.695019;0.4;5
Viserys;3;0.37193;87.061038;0.333333;5
Worm;1;0.268354;0;0;5
Davos;5;0.332288;312;0.1;6
Cressen;1;0.25;0;0;6
Salladhor;1;0.25;0;0;6
Eddard;12;0.46087;107.634983;0.545455;2
Eddison;3;0.329193;0;1;1
Gilly;4;0.33125;0;1;1
Qyburn;1;0.325153;0;0;0
Renly;8;0.415686;23.528413;0.571429;0
Tommen;5;0.349835;3.88683;0.5;0
Janos;6;0.395522;131.103673;0.4;1
Bowen;2;0.301136;0;1;1
Kevan;6;0.379928;106.958827;0.466667;0
Margaery;7;0.375887;6.106765;0.571429;0
Myrcella;4;0.37193;3.470318;0.666667;0
Dalla;3;0.334385;0;1;1
Melisandre;4;0.366782;47.90724;0.666667;6
Orell;1;0.325153;0;0;1
Qhorin;5;0.33125;1.466667;0.8;1
Rattleshirt;4;0.328173;0;1;1
Styr;2;0.326154;0;1;1
Val;4;0.373239;32.824234;0.5;1
Ygritte;4;0.328173;0;1;1
Jon Arryn;2;0.345277;3.207991;0;2
Lancel;1;0.276042;0;0;0
Olenna;2;0.340836;0;1;0
Marillion;3;0.344156;0;1;0
Robert Arryn;3;0.344156;0;1;0
Ellaria;2;0.341935;0;1;0
Mace;3;0.348684;0;1;0
Rickard;2;0.330218;0;1;4
Ramsay;1;0.329193;0;0;4
Chataya;2;0.340836;0;1;0
Shireen;1;0.25;0;0;6
Doran;1;0.339744;0;0;0
Walton;1;0.325153;0;0;0
